,kwh,temp,temp,temp,wspd,wchill
,sum,min,max,mean,mean,mean
2023-02-01,47.097,-13.9,-5.0,-8.933333333333334,4.916666666666667,-5.546337361255833
2023-02-02,80.386,-16.7,0.6,-8.766666666666667,5.416666666666667,0.3425767463120635
2023-02-03,68.812,-22.8,1.1,-7.825,15.329166666666666,-14.061670487592481
2023-02-04,133.128,-25.6,-14.4,-21.454166666666666,14.141666666666666,-30.351285352821638
2023-02-05,56.588,-15.0,2.2,-6.5375000000000005,6.108333333333333,-2.6803123855109945
2023-02-06,40.365,-5.6,6.7,-0.4333333333333333,3.9583333333333335,6.421687774050447
2023-02-07,53.929,-9.4,0.0,-4.441666666666667,7.633333333333333,-6.5549318011193805
2023-02-08,28.152,-5.0,6.7,0.5041666666666665,3.9416666666666664,6.960832909066881
2023-02-09,42.893,-5.6,4.4,-0.016666666666666535,4.258333333333334,6.501251457337951
2023-02-10,36.533,1.7,11.7,4.879166666666666,6.395833333333333,8.174000244184533
2023-02-11,39.939,-1.7,6.1,1.4625000000000001,6.2749999999999995,5.121037454691227
2023-02-12,38.567,-4.4,7.2,1.0666666666666667,4.616666666666666,5.689635251565591
2023-02-13,38.386,-2.8,15.6,3.533333333333333,5.1000000000000005,7.15288355564359
2023-02-14,29.595,0.6,8.9,3.5541666666666667,1.8666666666666665,12.470415538554855
2023-02-15,26.032,-2.8,8.3,2.3333333333333335,5.6499999999999995,9.189484747729084
2023-02-16,16.805,0.6,13.9,8.708333333333334,6.2,10.905158859782802
2023-02-17,26.43,-1.7,6.7,4.25,4.108333333333333,8.323437499502285
2023-02-18,52.136,-10.0,-0.6,-4.8875,6.516666666666667,-3.607837796072093
2023-02-19,45.616,-7.8,4.4,-1.9875,4.108333333333333,6.6008644002702
2023-02-20,28.574,0.0,10.0,5.625,6.833333333333333,7.8682382906463815
2023-02-21,38.432,-1.7,5.0,1.7249999999999999,4.258333333333334,6.511450325522094
2023-02-22,36.879,-3.3,5.0,1.4166666666666667,3.9583333333333335,8.678980038182647
2023-02-23,81.265,-8.9,0.6,-6.083333333333333,7.675,-7.797378170761122
2023-02-24,49.336,-9.4,-4.4,-7.708333333333333,6.625,-5.904277305227812
2023-02-25,84.278,-17.2,-8.3,-11.887500000000001,5.566666666666666,-8.914152689324327
2023-02-26,79.172,-19.4,-5.6,-11.770833333333334,1.5333333333333332,2.548312770458141
2023-02-27,53.218,-17.8,-2.8,-10.216666666666667,2.75,-0.6721460749536687
2023-02-28,48.569,-8.3,-0.6,-3.8541666666666665,8.645833333333334,-2.985760823020342
2023-03-01,38.208,-11.1,5.0,-2.0083333333333333,2.641666666666667,4.856149807361877
2023-03-02,41.05,0.0,2.2,1.1208333333333333,3.9416666666666664,5.7965003288864345
2023-03-03,32.085,-5.0,6.1,1.1333333333333333,4.1499999999999995,5.018656246896922
2023-03-04,38.208,-2.8,0.6,-0.8624999999999999,7.325,1.4604201805115675
2023-03-05,42.729,-6.1,6.7,0.46249999999999997,4.633333333333334,4.758702444283977
2023-03-06,38.081,0.0,7.2,3.5875,12.529166666666667,0.5821648515813044
2023-03-07,36.825,-2.2,3.9,0.6875,5.916666666666667,2.887602429426948
2023-03-08,19.897,-0.6,7.8,3.283333333333333,8.75,0.9797457765873666
2023-03-09,30.265,-1.1,6.1,3.2624999999999997,5.566666666666666,6.676839577554397
2023-03-10,28.576,-4.4,7.2,1.825,4.95,5.057243992952006
2023-03-11,32.181,-2.8,5.6,0.5291666666666667,3.1750000000000003,6.78244955750698
2023-03-12,24.577,-1.7,8.3,2.634782608695652,5.57391304347826,5.098017937530398
2023-03-13,27.24,-3.9,7.2,0.9166666666666666,4.8,8.576656895610638
2023-03-14,29.082,0.6,3.3,2.0749999999999997,13.070833333333333,-1.423869287036647
2023-03-15,22.528,0.0,3.9,1.5125,15.299999999999999,-2.342633604815171
2023-03-16,28.093,-2.8,10.0,4.166666666666667,8.3375,3.8961394747581033
2023-03-17,23.837,-3.9,6.1,2.3166666666666664,5.416666666666667,7.305026718672203
2023-03-18,21.161,2.8,10.0,5.479166666666667,2.841666666666667,11.537010328984621
2023-03-19,35.007,-3.3,5.6,0.5083333333333333,9.220833333333333,1.7337695870487948
2023-03-20,29.823,-7.8,7.2,-0.3,8.4375,1.3417838068580392
2023-03-21,21.49,-5.0,11.1,2.5791666666666666,4.258333333333334,9.615410983917524
2023-03-22,19.155,-2.2,6.7,3.4333333333333336,5.625,9.079442441380488
2023-03-23,26.48,-0.6,7.2,4.654166666666667,4.8,8.80965666687676
2023-03-24,25.287,1.1,7.8,5.004166666666666,6.483333333333333,6.472728817462301
2023-03-25,55.723,-5.6,4.4,-0.09166666666666667,5.566666666666666,4.2762088945435375
2023-03-26,41.596000000000004,0.6,9.4,4.2749999999999995,9.35,2.578665522634258
2023-03-27,23.74,-1.1,11.7,5.608333333333333,4.208333333333333,11.504270714438329
2023-03-28,22.852,1.7,7.2,4.904166666666667,3.7750000000000004,9.284095280442537
2023-03-29,30.171,-3.9,7.2,2.379166666666667,6.108333333333333,6.679499798644426
2023-03-30,30.314,-1.1,5.0,1.7958333333333334,14.15,-1.9867182469410452
2023-03-31,30.406,-6.1,6.7,-0.3333333333333332,4.783333333333334,6.613086825805791
2023-04-01,18.775,0.6,6.7,3.8000000000000003,6.833333333333333,4.389911632225222
2023-04-02,31.113,0.6,6.1,4.429166666666666,10.825000000000001,2.855698028728524
2023-04-03,27.751,-5.6,6.1,1.0166666666666666,10.591666666666667,4.440101409544386
2023-04-04,25.719,3.3,12.2,7.420833333333333,2.5749999999999997,13.635570771946746
2023-04-05,20.486,1.1,8.3,4.1625000000000005,8.433333333333334,3.678507095964658
2023-04-06,32.046,0.6,8.9,3.7625000000000006,2.875,10.92710638998755
2023-04-07,21.927,2.2,12.2,7.454166666666667,9.5375,9.323833991564317
2023-04-08,23.345,-1.7,7.2,2.891666666666667,8.141666666666667,3.5005691829347385
2023-04-09,42.254,-6.1,12.2,2.8208333333333333,7.05,7.098230779747081
2023-04-10,49.745,-3.9,15.6,5.5249999999999995,6.491666666666667,11.183504079413105
2023-04-11,38.089,1.1,16.7,8.875,5.058333333333333,14.04180928583652
2023-04-12,20.518,11.7,18.9,15.654166666666667,11.85,15.302671288032954
2023-04-13,17.096,7.2,18.9,12.862499999999999,5.658333333333334,17.583246835943683
2023-04-14,14.438,6.1,25.0,13.35,2.9333333333333336,20.093187567350277
2023-04-15,17.173000000000002,4.4,18.3,10.391666666666667,6.179166666666667,15.69942306385022
2023-04-16,27.29,7.8,18.3,10.816666666666668,5.733333333333333,13.366603538016912
2023-04-17,33.278,7.2,10.0,9.154166666666667,10.008333333333333,8.06915689399276
2023-04-18,30.019,6.7,11.7,8.75,8.424999999999999,8.825895114231178
2023-04-19,38.198,2.2,8.9,5.754166666666666,3.625,11.526928203380402
2023-04-20,33.650999999999996,4.4,12.8,7.641666666666667,7.308333333333334,9.863273060303362
2023-04-21,34.771,0.6,10.0,5.8875,6.816666666666666,9.746570151561363
2023-04-22,41.736,-0.6,10.6,5.625,5.808333333333334,11.067214163487234
2023-04-23,42.342,4.4,11.7,7.8999999999999995,10.120833333333334,9.12562222721922
2023-04-24,57.327,6.1,7.8,6.266666666666667,15.7125,3.259125209506699
2023-04-25,56.682,5.6,6.7,6.204166666666667,9.833333333333334,4.17023850294895
2023-04-26,46.867,5.6,8.9,6.933333333333334,2.891666666666667,13.123443787497235
2023-04-27,39.605000000000004,0.6,12.2,5.9624999999999995,4.666666666666667,11.925293372911604
2023-04-28,42.659,-0.6,16.7,8.291666666666666,5.066666666666667,14.674708182896389
2023-04-29,31.243,1.1,13.9,8.241666666666667,6.658333333333334,13.669023608946494
2023-04-30,55.715,6.7,8.9,7.666666666666667,14.083333333333334,5.280886944608908
2023-05-01,46.391,8.9,16.1,11.970833333333333,23.40416666666667,9.612888396624184
2023-05-02,32.026,3.9,13.9,9.195833333333333,9.2125,11.431264262518615
2023-05-03,48.426,6.7,7.8,6.9624999999999995,15.129166666666668,4.25537879827081
2023-05-04,41.543,4.4,11.1,7.183333333333334,7.916666666666667,6.2677436318779485
2023-05-05,29.373,6.7,18.3,11.25,5.666666666666667,12.348804822791665
2023-05-06,21.57,3.3,24.4,14.025,5.6125,19.986350835988834
2023-05-07,22.297,7.2,24.4,17.904166666666665,7.158333333333334,20.06076419531082
2023-05-08,14.169,8.3,20.6,15.025,6.933333333333334,18.264535204479866
2023-05-09,21.673000000000002,1.1,15.6,9.404166666666667,5.658333333333334,13.726047854054853
2023-05-10,31.091,-0.6,22.2,10.775,6.583333333333333,15.51426372595738
2023-05-11,17.861,5.6,26.1,15.283333333333333,4.2,20.45347274208164
2023-05-12,17.179,7.8,25.6,16.504166666666666,3.466666666666667,22.14682828592124
2023-05-13,7.333,10.0,21.7,16.508333333333333,7.045833333333333,20.32172844226933
2023-05-14,17.752,5.0,18.3,12.041666666666666,8.741666666666667,13.24387488701983
2023-05-15,23.667,3.3,20.6,13.35,7.466666666666666,16.889483214470808
2023-05-16,12.552,11.7,18.9,15.095833333333333,6.458333333333333,16.628935954534324
2023-05-17,9.644,7.2,12.2,9.279166666666667,9.958333333333334,8.356556767240047
2023-05-18,23.77,-1.1,15.6,7.420833333333333,8.525,10.268531120214282
2023-05-19,10.364,6.7,15.6,11.266666666666666,12.879166666666668,12.228328129140955
2023-05-20,9.638,10.6,16.1,13.058333333333332,10.049999999999999,12.998518479884217
2023-05-21,17.152,13.3,23.3,17.045833333333334,10.2375,17.617388035056695
2023-05-22,10.095,10.0,18.3,13.5875,6.833333333333333,15.460441525663436
2023-05-23,18.003,2.2,16.1,9.495833333333334,5.958333333333333,15.173314707107686
2023-05-24,16.661,4.4,15.6,10.179166666666667,6.783333333333334,14.077053643131691
2023-05-25,15.848999999999998,7.2,17.2,12.054166666666667,6.491666666666667,13.667292009551977
2023-05-26,24.464,2.2,18.9,10.220833333333333,4.616666666666666,14.741374656352335
2023-05-27,20.698,5.0,26.1,15.329166666666667,4.683333333333334,20.213080513738678
2023-05-28,10.239,8.9,28.9,19.483333333333334,6.7250000000000005,24.037172421582486
2023-05-29,8.668,11.7,21.7,17.291666666666668,6.875,19.042350843866245
2023-05-30,11.187,3.3,20.0,11.733333333333334,8.141666666666667,16.125648585453483
2023-05-31,11.561,10.6,23.3,16.091666666666665,9.766666666666667,16.498452393098237
2023-06-01,13.764,9.4,30.6,19.920833333333334,4.833333333333333,24.332176016802194
2023-06-02,18.371,14.4,30.0,20.1375,4.6499999999999995,24.31886952795608
2023-06-03,20.549,7.2,13.9,9.4625,7.558333333333334,10.16559861741697
2023-06-04,48.468,5.6,10.0,7.6375,6.233333333333333,8.379335576695903
2023-06-05,33.89,9.4,13.9,10.954166666666666,5.016666666666667,13.011237120622349
2023-06-06,14.705,10.6,17.2,14.0875,6.108333333333333,17.014400736121434
2023-06-07,14.198,10.6,16.1,13.354166666666666,6.741666666666667,14.071088629046066
2023-06-08,14.425,8.9,17.2,12.799999999999999,4.891666666666667,17.623902309584086
2023-06-09,20.478,10.6,16.7,12.841666666666667,3.433333333333333,17.722348964570504
2023-06-10,11.654,8.9,18.9,12.5875,1.5333333333333332,19.50434423002939
2023-06-11,26.091,7.2,25.6,16.345833333333335,5.3999999999999995,21.830796392605365
2023-06-12,15.535,10.6,23.9,17.441666666666666,4.833333333333333,21.44659385168201
2023-06-13,7.012,12.8,18.3,15.6875,5.566666666666666,18.97639029686282
2023-06-14,10.827,12.8,22.2,15.308333333333335,5.9750000000000005,17.67601511393362
2023-06-15,9.093,13.3,22.8,16.679166666666667,5.0249999999999995,20.05688969163526
2023-06-16,12.207,11.7,24.4,18.125,5.1375,22.910372294402933
2023-06-17,8.723,14.4,18.9,15.783333333333333,6.291666666666667,16.908003192595846
2023-06-18,12.964,11.7,16.7,13.983333333333334,7.633333333333333,14.476725984175161
2023-06-19,19.922,10.0,20.0,15.004166666666668,3.975,18.89359950927056
2023-06-20,11.051,12.8,17.8,15.404166666666667,4.816666666666667,18.989171849264345
2023-06-21,28.845,9.4,21.1,15.020833333333334,4.5,20.37644243943532
2023-06-22,10.605,7.8,21.7,15.108333333333334,6.391666666666667,20.216513554690973
2023-06-23,9.241,8.9,24.4,16.15,6.391666666666667,21.141652787654426
2023-06-24,7.7940000000000005,17.2,23.9,19.462500000000002,6.466666666666666,21.22671956797789
2023-06-25,18.735,17.8,26.7,21.71666666666667,4.108333333333333,25.33293206932836
2023-06-26,7.654,15.6,21.7,18.216666666666665,7.466666666666666,19.70378763099466
2023-06-27,4.281,15.0,22.2,17.995833333333334,10.320833333333333,18.984398936136795
2023-06-28,3.401,17.2,19.4,18.645833333333332,9.358333333333333,19.074624740134592
2023-06-29,6.51,16.7,24.4,19.3,7.3999999999999995,20.53895614200165
2023-06-30,19.748,16.7,23.9,18.995833333333334,5.866666666666667,20.994742780889727
2023-07-01,9.595,17.2,25.0,19.470833333333335,4.8,23.330611992362602
2023-07-02,4.665,17.2,20.6,18.266666666666666,4.558333333333334,20.870888716858186
2023-07-03,8.487,16.7,23.9,19.479166666666668,1.6083333333333334,24.027011800686825
2023-07-04,24.783,17.8,25.6,21.270833333333332,4.183333333333334,24.714000816019936
2023-07-05,20.767,18.3,31.7,23.6875,3.266666666666667,26.842779183553983
2023-07-06,19.419,17.2,30.0,23.933333333333334,5.041666666666667,27.850759671757984
2023-07-07,22.215,18.9,27.2,22.900000000000002,6.6499999999999995,25.906555668015915
2023-07-08,12.537,18.9,25.0,20.9,5.991666666666667,23.34813196864488
2023-07-09,15.668000000000001,18.3,22.2,20.037499999999998,4.5,22.602414527768264
2023-07-10,18.02,18.3,20.0,18.970833333333335,6.575,21.112666511837162
2023-07-11,9.987,16.7,27.2,19.995833333333334,4.366666666666666,23.325956799894712
2023-07-12,19.44,16.1,31.1,23.058333333333334,4.95,27.699089172187755
2023-07-13,15.562999999999999,17.2,27.8,22.5,4.891666666666667,26.38688309421809
2023-07-14,15.856,19.4,25.6,23.09583333333333,5.858333333333333,25.56197120514784
2023-07-15,11.057,20.0,24.4,21.808333333333334,5.175,24.553868376821086
2023-07-16,17.097,21.1,22.8,22.083333333333332,9.1,23.581939314626567
2023-07-17,30.939999999999998,20.6,28.3,23.495833333333334,8.625,24.9681335851011
2023-07-18,17.14,17.2,25.6,21.279166666666665,5.2250000000000005,24.845394319781022
2023-07-19,15.86,19.4,28.3,23.0125,3.608333333333333,26.041919217940883
2023-07-20,15.238,15.6,28.3,22.075,2.2083333333333335,26.296838620758564
2023-07-21,10.383000000000001,13.3,22.8,18.479166666666668,3.7750000000000004,22.480068479992095
2023-07-22,13.386000000000001,17.2,25.0,20.233333333333334,8.200000000000001,21.750404932307532
2023-07-23,15.719999999999999,15.6,28.3,22.083333333333332,3.4583333333333335,26.267242548007815
2023-07-24,26.456,15.0,29.4,22.2625,4.575,26.78234102053443
2023-07-25,15.632,17.8,27.2,23.133333333333336,6.425,26.214185239273387
2023-07-26,16.025,19.4,28.9,24.15416666666667,5.175,27.861459664632395
2023-07-27,11.185,19.4,26.1,22.545833333333334,6.2,25.35780284890156
2023-07-28,19.407,18.9,30.0,24.395833333333332,5.733333333333333,28.076182400330037
2023-07-29,13.224,18.9,28.3,23.066666666666666,3.3249999999999997,26.607815982053367
2023-07-30,19.271,13.9,24.4,18.3625,5.4750000000000005,20.90531141114275
2023-07-31,26.232,12.2,25.0,18.145833333333332,1.6083333333333334,23.789831745441052
2023-08-01,12.244,11.7,23.3,18.129166666666666,2.525,22.904071433424026
2023-08-02,12.658,10.0,23.9,16.941666666666666,3.283333333333333,22.322645148674265
2023-08-03,10.82,11.1,23.3,17.633333333333333,6.8,22.117598220156605
2023-08-04,13.004,17.2,21.1,19.166666666666668,11.316666666666668,19.536529733124016
2023-08-05,9.49,17.2,26.1,20.224999999999998,4.05,23.492617646024858
2023-08-06,16.576,12.2,27.8,20.316666666666666,3.8083333333333336,24.818687013565935
2023-08-07,12.045,13.9,23.9,18.595833333333335,1.8,23.504378403431414
2023-08-08,6.982,17.8,21.1,19.579166666666666,11.066666666666668,20.601823121250973
2023-08-09,17.621000000000002,18.9,25.0,21.47083333333333,4.741666666666666,24.821840434827212
2023-08-10,13.904,13.9,26.7,20.45,3.5833333333333335,25.204164781504772
2023-08-11,14.940999999999999,18.3,25.6,22.079166666666666,10.083333333333334,23.48822810231672
2023-08-12,12.713,13.3,26.1,19.912499999999998,4.558333333333334,24.17073858229188
2023-08-13,18.133,17.8,25.6,21.762500000000003,5.825,24.693703597759995
2023-08-14,15.004,16.7,26.1,21.6125,4.0,25.370549704913277
2023-08-15,14.551,15.6,23.3,18.9375,1.7166666666666668,24.01701391253624
2023-08-16,13.174,16.1,23.3,19.629166666666666,5.041666666666667,23.408760775522087
2023-08-17,10.506,18.3,21.1,19.645833333333332,5.883333333333333,22.2894167397727
2023-08-18,14.475999999999999,18.3,21.7,19.533333333333335,7.325,20.961045986678013
2023-08-19,9.203,13.9,22.2,19.233333333333334,7.625,21.817391603623832
2023-08-20,8.985,16.1,27.2,21.004166666666666,3.4333333333333336,25.36760660737964
2023-08-21,8.219,16.7,28.9,21.579166666666666,3.266666666666667,26.11383863776905
2023-08-22,24.06,11.7,26.1,20.283333333333335,3.6833333333333336,24.122770957081737
2023-08-23,15.639,8.9,24.4,16.825,2.891666666666666,22.194519937682525
2023-08-24,11.115,11.1,26.1,18.279166666666665,4.108333333333333,23.236864778813352
2023-08-25,13.36,15.0,20.0,17.6375,10.483333333333334,18.27918250284163
2023-08-26,17.913,18.9,26.7,21.587500000000002,5.816666666666666,23.551229911708166
2023-08-27,23.155,17.2,24.4,20.154166666666665,3.25,23.55869778155326
2023-08-28,18.546,12.2,25.0,18.516666666666666,4.7250000000000005,23.33291517823227
2023-08-29,12.998000000000001,17.2,23.3,20.229166666666668,5.225,23.57412375953865
2023-08-30,9.286,18.3,23.3,19.570833333333333,2.7083333333333335,23.859433176318603
2023-08-31,11.549,14.4,21.7,18.270833333333332,5.658333333333334,20.744435414810667
2023-09-01,12.049,7.8,24.4,15.295833333333334,4.091666666666667,20.772707909565455
2023-09-02,7.869,9.4,23.3,16.208333333333332,4.891666666666667,21.613017231566616
2023-09-03,10.282,13.9,26.1,20.166666666666668,4.358333333333333,23.840965051213175
2023-09-04,14.522,14.4,27.8,19.645833333333332,4.183333333333334,23.97182577800088
2023-09-05,30.728,16.1,32.2,23.150000000000002,1.8666666666666665,27.441317672888918
2023-09-06,21.323,18.3,30.0,23.724999999999998,2.2416666666666667,27.550118003363504
2023-09-07,17.408,18.9,29.4,23.633333333333336,3.625,27.504775603695126
2023-09-08,13.788,18.9,28.3,23.150000000000002,5.625,26.4886647146689
2023-09-09,17.657,18.9,28.3,23.25,6.2749999999999995,25.822228626349318
2023-09-10,14.477,17.2,22.8,19.970833333333335,2.858333333333333,23.730942247984945
2023-09-11,17.707,18.9,25.0,21.09583333333333,0.9,25.60131862577794
2023-09-12,18.41,18.9,22.2,20.120833333333334,3.3083333333333336,23.490834799042975
2023-09-13,13.684,18.3,22.8,20.266666666666666,4.333333333333333,23.36412637036544
2023-09-14,18.323,17.8,24.4,20.849999999999998,2.558333333333333,24.84655504589737
2023-09-15,23.422,10.6,19.4,15.116666666666667,4.483333333333333,19.450342494992103
2023-09-16,8.259,14.4,19.4,16.6875,12.254166666666668,16.45270463097665
2023-09-17,3.896,12.8,25.6,19.008333333333333,6.458333333333333,22.149554490372168
2023-09-18,4.099,12.8,17.2,14.966666666666667,3.0833333333333335,19.697214525672056
2023-09-19,4.335,13.9,22.2,17.108333333333334,9.075000000000001,17.55777687918269
2023-09-20,4.164,11.1,22.2,17.154166666666665,5.433333333333334,19.772609899513203
2023-09-21,4.09,8.3,22.2,15.0375,1.325,21.819421322140467
2023-09-22,4.046,7.2,19.4,13.116666666666667,3.266666666666667,19.217538534442543
2023-09-23,4.872,6.1,17.2,11.183333333333332,1.4166666666666667,18.80111675695161
2023-09-24,5.804,11.1,18.3,13.958333333333334,1.625,20.591780199870474
2023-09-25,3.771,11.7,20.0,15.174999999999999,4.366666666666666,19.73634873866387
2023-09-26,5.369,7.2,18.9,12.470833333333333,3.775,17.354158148363926
2023-09-27,6.598,5.0,20.6,11.458333333333334,2.5416666666666665,18.55359111389359
2023-09-28,12.318,5.6,18.9,11.2875,0.6750000000000002,19.476789034467735
2023-09-29,27.309,6.1,18.3,11.2875,1.7916666666666667,18.605219006693194
2023-09-30,12.793,10.0,18.3,13.166666666666666,1.4416666666666667,19.752366173915284
2023-10-01,16.652,6.7,23.3,13.629166666666668,1.4749999999999999,20.910387045657686
2023-10-02,13.375,11.1,22.8,16.220833333333335,2.3916666666666666,20.634575670893472
2023-10-03,12.508000000000001,7.2,26.1,15.4375,2.9333333333333336,21.845390550495193
2023-10-04,14.280000000000001,11.7,22.2,16.520833333333332,3.475,20.992888531824686
2023-10-05,9.538,12.2,16.7,14.754166666666668,3.225,19.634316504749922
2023-10-06,7.274,15.0,18.9,16.333333333333332,5.675,18.80499142245949
2023-10-07,10.108,16.1,17.8,17.0125,10.366666666666665,18.484412058012747
2023-10-08,27.971,8.9,17.2,14.1,8.158333333333333,14.999660712732366
2023-10-09,15.634,6.7,15.0,10.154166666666667,4.725,16.177135317433795
2023-10-10,18.691,4.4,15.6,9.7125,3.233333333333333,16.143913938306486
2023-10-11,23.358,6.7,16.1,11.204166666666667,3.733333333333333,16.806105474102605
2023-10-12,18.337,10.0,16.1,12.533333333333333,2.408333333333333,18.416738307282625
2023-10-13,22.996,6.1,15.0,10.225,5.8999999999999995,12.889422529123364
2023-10-14,21.225,6.7,16.1,10.466666666666667,5.3999999999999995,12.160534244677523
2023-10-15,28.021,2.8,14.4,8.545833333333333,3.1916666666666664,14.378506378477352
2023-10-16,26.143,8.9,12.8,10.770833333333334,2.6916666666666664,15.995131961901686
2023-10-17,22.651,9.4,13.9,10.966666666666667,2.3333333333333335,16.990158159642437
